Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557501661603367,-8.844253,-0.085449,3.574699,0.057678,0.767645,0.137792,38.933486,25.527719,-12.040558,4635495234594144300.000000,-0.554191,-0.361330,-0.403154,0.632281,-9.939625,4.113786,-1.950168,-1.834899,1.645559,2.645417,4.178219,-42.112798,8.648332,4635492550239584300.000000,-0.262711,-0.265296,0.891067,-0.258071,-1.959042,-9.178300,-0.878155,-1.906216,2.134245,-1.105414,30.574465,31.776744,-19.217882,4635491476497760300.000000,-0.320576,0.679877,0.288801,-0.592952,-10.887700,2.084227,-1.693870,0.652149,-0.697790,1.078459,32.481584,13.478629,35.443047,4635491879878883300.000000,0.610327,-0.101503,0.765316,0.177452,-6.541346,6.069076,2.300646,0.946285,0.127858,-1.748878,46.082224,-9.112914,-16.833459,4635492979736313900.000000,0.214558,0.751554,0.012077,-0.623687
1557501661611700,-8.646921,-0.111954,2.689612,0.025636,0.808935,0.156663,39.116613,25.558209,-11.767908,4635495234594144300.000000,-0.552993,-0.363951,-0.404552,0.630932,-9.573390,4.184661,-2.392343,-1.820335,1.708099,2.600343,3.174971,-42.366817,8.008672,4635492550239584300.000000,-0.269027,-0.252062,0.893591,-0.256096,-2.126716,-9.465909,-0.548570,-1.954221,2.051934,-1.105874,30.620660,32.384547,-18.072297,4635491476497760300.000000,-0.320324,0.686084,0.293982,-0.583315,-9.443675,-0.152658,-1.215191,0.685950,-0.690387,0.896587,32.761033,13.255279,35.186045,4635491798620307500.000000,0.610813,-0.099465,0.765443,0.176382,-6.535155,5.601550,2.690734,1.060625,0.052099,-1.826391,46.375016,-8.846897,-16.647976,4635492979736313900.000000,0.206326,0.752372,0.015176,-0.625408
1557501661620033,-8.720159,-0.604240,1.981667,0.030262,0.710684,0.176776,39.360717,25.328340,-11.493285,4635495234594144300.000000,-0.552001,-0.366355,-0.405676,0.629688,-9.436323,4.177412,-2.514725,-1.820552,1.774349,2.552713,1.903422,-42.467075,7.405642,4635492550239584300.000000,-0.274462,-0.242820,0.894721,-0.255312,-2.300841,-9.443359,-0.157255,-1.988958,1.956980,-1.109131,30.608453,32.919043,-16.917765,4635491544352367600.000000,-0.319817,0.691996,0.299333,-0.573810,-7.981685,-0.319275,-0.829768,0.867697,-0.771374,0.909486,32.828674,13.093614,34.955447,4635491798620307500.000000,0.611623,-0.096868,0.765493,0.174799,-6.743042,5.093399,2.915384,1.189121,-0.023229,-1.926334,46.386493,-8.297021,-16.297247,4635492995763849200.000000,0.197417,0.753031,0.018184,-0.627408
1557501661628366,-8.602150,-0.844345,2.085431,0.043794,0.609378,0.216122,39.576401,25.224565,-11.310159,4635495234594144300.000000,-0.551257,-0.368588,-0.406467,0.628525,-9.429013,4.045768,-2.310051,-1.816286,1.816452,2.506355,0.753133,-42.452524,6.741778,4635492485943898100.000000,-0.280070,-0.233611,0.895655,-0.254535,-2.460798,-9.195931,0.154270,-2.060316,1.849380,-1.113462,30.596247,33.449090,-15.787055,4635491583871942700.000000,-0.318936,0.697635,0.304960,-0.564433,-11.555199,1.434746,-0.632283,0.768547,-0.790453,1.050850,32.879461,12.904909,34.553288,4635491798620307500.000000,0.612348,-0.094061,0.765468,0.173899,-6.813170,4.658151,3.051470,1.323228,-0.104432,-2.048374,46.697105,-7.600896,-16.137658,4635493194484678700.000000,0.187754,0.753501,0.021152,-0.629712
1557501661636699,-8.201349,-0.677507,2.435417,-0.009966,0.591938,0.268282,39.637440,25.352750,-11.141300,4635495234594144300.000000,-0.550758,-0.370738,-0.407274,0.627174,-9.226759,3.916240,-1.741657,-1.837379,1.859798,2.461282,-0.108895,-42.542575,6.041075,4635492442865401900.000000,-0.285873,-0.224419,0.896416,-0.253675,-2.568716,-8.846426,0.259574,-2.195589,1.730369,-1.127013,30.483771,34.157152,-14.721233,4635491583871942700.000000,-0.317496,0.703051,0.311051,-0.555124,-9.771881,1.701136,-0.118897,0.741492,-0.807789,0.905348,33.088915,12.702315,34.080208,4635491798620307500.000000,0.613222,-0.091779,0.765313,0.172721,-7.034489,4.431668,3.178326,1.477472,-0.175898,-2.188985,47.046423,-7.046105,-15.973123,4635493194484678700.000000,0.177222,0.753801,0.024095,-0.632294
1557501661645032,-8.185024,-0.754791,2.142368,-0.039876,0.523052,0.280388,39.613043,25.242903,-11.041609,4635495234594144300.000000,-0.550449,-0.372657,-0.407979,0.625848,-8.933694,3.823474,-1.006766,-1.899290,1.886976,2.411512,-1.041306,-42.733005,5.403700,4635492442865401900.000000,-0.292924,-0.211405,0.897967,-0.251313,-2.600177,-8.638948,0.353415,-2.389460,1.619391,-1.157604,30.312854,34.804131,-13.688020,4635491583871942700.000000,-0.315368,0.708316,0.317773,-0.545758,-10.636744,0.641978,-0.837979,0.695477,-0.792697,0.810433,33.379949,12.667635,33.657857,4635491798620307500.000000,0.614095,-0.089931,0.765118,0.171444,-7.753037,4.258423,2.906130,1.622771,-0.287985,-2.349987,47.016026,-6.401710,-15.881306,4635493194484678700.000000,0.165797,0.753792,0.027070,-0.635277
1557501661653365,-8.480051,-1.003025,2.455603,-0.039353,0.401817,0.284659,39.503144,25.035366,-10.933784,4635495234594144300.000000,-0.550353,-0.374268,-0.408394,0.624699,-8.709005,3.660038,-0.218312,-1.955086,1.878899,2.363653,-2.081273,-42.782127,4.739798,4635492442865401900.000000,-0.298917,-0.202303,0.898477,-0.249923,-2.638744,-8.802276,0.348850,-2.600101,1.516740,-1.184582,30.149670,35.311660,-12.480726,4635491651718408200.000000,-0.312493,0.713468,0.325129,-0.536285,-10.116062,0.640955,-0.685908,0.785219,-0.873993,0.699089,33.547883,12.735288,33.367856,4635491798620307500.000000,0.615340,-0.088157,0.764729,0.169632,-8.743854,3.874555,2.577922,1.756939,-0.425349,-2.491379,46.788746,-5.473653,-15.717694,4635493194484678700.000000,0.153566,0.753373,0.030031,-0.638705
1557501661661698,-8.575706,-1.041726,3.000947,0.003912,0.328286,0.292139,39.578424,24.964140,-10.805626,4635495234594144300.000000,-0.550332,-0.375799,-0.408514,0.623720,-8.294438,3.474448,0.460680,-1.995463,1.865850,2.297050,-3.131059,-42.638288,3.871013,4635492442865401900.000000,-0.304938,-0.193308,0.898887,-0.248289,-2.699793,-9.085642,0.116784,-2.746316,1.429425,-1.201505,29.929219,35.787835,-11.166579,4635491759112280100.000000,-0.309049,0.718464,0.332913,-0.526752,-9.614865,0.153488,0.723792,0.690215,-0.987090,0.600953,33.709529,12.703018,33.063391,4635491798620307500.000000,0.616977,-0.086866,0.763935,0.167921,-9.616126,3.122154,2.129429,1.914734,-0.557735,-2.597332,46.933942,-4.408872,-15.672598,4635493194484678700.000000,0.140546,0.752551,0.032810,-0.642524
1557501661670031,-8.535030,-0.783503,3.241053,0.023155,0.269721,0.287691,39.663859,24.951957,-10.555368,4635495234594144300.000000,-0.550366,-0.377213,-0.408455,0.622874,-7.725588,3.405865,0.915081,-2.027949,1.867326,2.217150,-4.122427,-42.671947,2.901729,4635492442865401900.000000,-0.311043,-0.184480,0.899159,-0.246438,-2.753124,-9.488698,-0.038591,-2.828669,1.367250,-1.208358,29.680529,36.364359,-9.863341,4635491798620307500.000000,-0.305232,0.723284,0.340910,-0.517179,-9.308562,1.467083,1.031879,0.458913,-0.950801,0.533246,33.921942,12.496534,32.640485,4635491798620307500.000000,0.618458,-0.086419,0.763039,0.166772,-10.556996,2.436328,1.869444,2.095885,-0.689037,-2.689297,47.185647,-3.622663,-15.969607,4635493194484678700.000000,0.126702,0.751314,0.035304,-0.646706
