Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557520730943199,-19.184720,0.803522,-1.587948,-5.290022,0.571833,1.679308,50.802351,0.533974,0.666460,4635478906057622500.000000,0.806367,-0.035930,0.572816,0.142697,-14.947237,-10.702384,4.948492,-1.424141,-0.943738,-1.509686,0.073306,-25.641251,-39.082401,4635475047710982100.000000,-0.438675,-0.564332,-0.671763,0.194495,-14.532431,-3.988307,7.378485,-2.389926,-2.416587,-3.038218,34.424319,10.455274,-37.987555,4635476550949535700.000000,-0.269134,-0.875523,-0.219047,-0.336221,-17.085758,-1.225602,-5.928191,-4.206851,-1.009149,-3.157512,48.834009,-8.470154,-8.614924,4635475262459346900.000000,-0.287738,-0.524046,-0.725098,0.341783,-14.310386,10.674806,3.118596,-2.593672,-0.727081,-1.967354,51.817021,0.565490,2.523543,4635475477207711700.000000,-0.023040,0.878219,0.253188,-0.405087
1557520730951532,-17.942511,0.383930,-1.066937,-5.456109,0.772960,1.807434,50.662387,-0.269121,1.030215,4635478805807366100.000000,0.802019,-0.051103,0.572593,0.162148,-13.842068,-12.989928,3.215349,-1.033010,-0.964543,-2.013913,0.219918,-25.201845,-39.417870,4635475047710982100.000000,-0.440977,-0.558384,-0.673980,0.198738,-13.785301,-3.955199,6.686992,-2.587877,-2.370476,-3.240010,33.354803,11.698765,-38.430129,4635476550949535700.000000,-0.285052,-0.873065,-0.224535,-0.325710,-15.937191,-1.892859,-5.350226,-4.327915,-1.107067,-3.180238,49.114756,-7.038113,-9.103181,4635475262459346900.000000,-0.292649,-0.515035,-0.731445,0.337764,-16.827233,-0.777688,2.485907,-3.055496,-0.861008,-1.962384,51.780404,1.373952,1.971140,4635475477207711700.000000,-0.014904,0.875135,0.264086,-0.405184
1557520730959865,-17.120106,1.383901,-1.088876,-5.663754,0.866377,1.846676,50.606192,-1.267590,1.314248,4635478805807366100.000000,0.796846,-0.066903,0.572181,0.182123,-12.474880,-13.696650,1.750686,-0.485011,-0.947415,-2.567736,0.372392,-24.799025,-39.442007,4635475047710982100.000000,-0.441408,-0.551893,-0.677010,0.205499,-12.852294,-3.960783,6.219014,-2.804359,-2.313982,-3.380417,32.564920,13.326241,-38.721238,4635476403588615200.000000,-0.301769,-0.869776,-0.230237,-0.315305,-14.472400,-2.437919,-4.902939,-4.525272,-1.181435,-3.155624,49.289552,-5.601675,-9.721873,4635475262459346900.000000,-0.298111,-0.505862,-0.737651,0.333323,-13.400310,9.982018,4.487345,-3.467034,-0.713145,-1.863155,51.738121,1.944876,1.516364,4635475477207711700.000000,-0.005267,0.872246,0.275256,-0.404220
1557520730968198,-15.580582,1.614077,-1.077540,-5.817371,0.982716,1.947881,50.618398,-2.226286,1.597418,4635478805807366100.000000,0.790716,-0.083000,0.571675,0.202650,-11.095463,-12.828686,0.517967,0.054321,-0.846381,-3.110316,0.494524,-24.555125,-39.326084,4635475047710982100.000000,-0.439730,-0.544916,-0.680945,0.214519,-11.893300,-4.028825,5.731406,-3.035277,-2.236558,-3.475010,31.623860,15.470160,-38.762666,4635476228826988500.000000,-0.319230,-0.865612,-0.236000,-0.305142,-12.986995,-2.363770,-4.752694,-4.807365,-1.240184,-3.094700,49.354571,-4.144821,-10.527822,4635475262459346900.000000,-0.304289,-0.496577,-0.743737,0.328138,-15.308161,8.226719,-0.810293,-4.443101,-1.107029,-2.177174,51.633654,2.263690,1.141041,4635475477207711700.000000,0.007822,0.868087,0.289120,-0.403452
1557520730976531,-14.432696,1.072010,-0.816458,-6.013766,1.070332,2.016670,50.546039,-3.105163,2.025376,4635478805807366100.000000,0.783663,-0.099563,0.570900,0.223678,-10.278424,-10.685534,-0.110000,0.459022,-0.662625,-3.586111,1.007787,-24.622504,-39.326218,4635475047710982100.000000,-0.436027,-0.537453,-0.685824,0.225099,-11.217039,-4.163116,5.118530,-3.258069,-2.153635,-3.549263,30.726547,17.290243,-38.771103,4635476228826988500.000000,-0.337350,-0.860561,-0.241772,-0.295255,-10.963852,-1.903801,-4.785381,-5.098932,-1.279317,-3.040968,49.497162,-2.529169,-11.337453,4635475405856833500.000000,-0.311112,-0.487198,-0.749705,0.322163,-13.114255,3.987678,2.700761,-5.197265,-1.233367,-1.991906,51.488798,2.763907,0.676125,4635475477207711700.000000,0.024086,0.863524,0.303455,-0.402071
1557520730984864,-13.004414,0.749647,-0.498995,-6.159275,1.251433,2.001787,50.315003,-4.114134,2.498230,4635478634173607900.000000,0.775515,-0.116709,0.570132,0.244755,-10.358289,-8.018313,0.012506,0.668195,-0.463438,-3.963059,1.837785,-24.719974,-39.289414,4635475047710982100.000000,-0.430738,-0.529425,-0.691568,0.236448,-10.724612,-4.235969,4.492869,-3.451689,-2.080278,-3.620461,30.001031,18.541300,-38.866292,4635476228826988500.000000,-0.356003,-0.854645,-0.247566,-0.285579,-9.137613,-1.570432,-4.850472,-5.382335,-1.332760,-2.998248,49.643567,-0.881314,-12.045336,4635475477207711700.000000,-0.318588,-0.477668,-0.755522,0.315472,-11.869036,12.227157,1.995450,-6.151228,-1.466775,-2.385804,51.598677,3.734944,0.193190,4635475477207711700.000000,0.043393,0.857441,0.320614,-0.400148
1557520730993197,-11.472222,0.725045,-0.702846,-6.266881,1.423808,1.946355,50.055349,-5.198189,2.925489,4635478483684818900.000000,0.766319,-0.134406,0.569321,0.265638,-10.431041,-5.638467,0.598662,0.658438,-0.286691,-4.244445,2.637331,-24.616108,-39.039051,4635475047710982100.000000,-0.424474,-0.520660,-0.698096,0.247784,-10.290781,-4.135489,3.940478,-3.619609,-2.023035,-3.696779,28.546191,20.664426,-38.697408,4635476130626122800.000000,-0.375092,-0.847881,-0.253412,-0.276017,-7.277612,-1.464850,-4.650678,-5.646138,-1.377947,-2.953024,49.545564,0.783026,-12.798253,4635475477207711700.000000,-0.326652,-0.468007,-0.761143,0.308107,-14.957234,7.191252,-2.238183,-7.998844,-2.000094,-2.250883,51.680733,4.630177,-0.332203,4635475477207711700.000000,0.070183,0.849490,0.339991,-0.397301
1557520731001530,-10.446065,0.702431,-0.820506,-6.418846,1.555043,1.869296,49.920177,-6.072362,3.346217,4635478483684818900.000000,0.756163,-0.152773,0.568241,0.286322,-9.924179,-3.972741,1.239366,0.508327,-0.130758,-4.453213,3.552970,-24.549118,-38.788929,4635475047710982100.000000,-0.417644,-0.511088,-0.705331,0.258596,-9.830033,-3.899011,3.438936,-3.765482,-1.970970,-3.780034,26.678902,23.471675,-38.298063,4635475915879959600.000000,-0.394523,-0.840270,-0.259359,-0.266515,-5.418508,-1.925323,-4.239641,-5.846838,-1.378965,-2.883216,49.346222,2.475527,-13.453074,4635475477207711700.000000,-0.335073,-0.458413,-0.766481,0.300151,-7.094364,12.059388,2.459809,-9.689017,-1.476781,-2.129450,51.502670,5.362712,-0.565523,4635475477207711700.000000,0.102305,0.840867,0.361434,-0.389668
1557520731009863,-8.432876,0.902236,-1.229924,-6.520008,1.758263,1.799516,49.813613,-6.831626,3.761272,4635478483684818900.000000,0.744884,-0.171696,0.567142,0.306622,-9.081851,-2.935500,1.635921,0.324095,0.026248,-4.592551,4.700460,-24.597941,-38.764661,4635475047710982100.000000,-0.410364,-0.500870,-0.713134,0.268645,-9.351878,-3.642667,3.039967,-3.867555,-1.921777,-3.872776,25.384340,25.438250,-37.915113,4635475799330258900.000000,-0.414126,-0.831850,-0.265478,-0.256994,-4.112960,-2.527416,-3.918351,-5.973886,-1.385760,-2.777793,49.199798,4.066419,-13.924943,4635475477207711700.000000,-0.343780,-0.449070,-0.771365,0.291802,-2.682907,12.276500,-5.305930,-11.336610,-0.682041,-2.451482,51.405020,6.406730,-0.337745,4635475491020878800.000000,0.138282,0.830704,0.386349,-0.376222
