Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557515511640902,-15.497286,1.973930,0.874065,-2.609138,-0.083605,0.393650,46.056086,0.452922,-18.783132,4635485141420998700.000000,-0.561033,0.697467,-0.279920,-0.347025,-14.424059,1.774603,1.498777,-3.547706,1.508480,0.195736,46.412548,-2.447283,-14.421473,4635479664800825300.000000,-0.332176,-0.764944,-0.063244,0.548197,-22.458404,-12.433976,-3.811927,-4.282181,-0.561470,4.781453,46.448766,9.412723,-14.186210,4635481060665196500.000000,-0.889511,-0.170160,-0.383353,0.181262,-14.057508,1.441376,0.396066,-1.394488,-0.135338,-1.300173,46.426112,17.872544,7.552087,4635479879549190100.000000,-0.163614,0.758637,0.577293,-0.253838,-12.607194,3.478968,-6.622948,-2.389811,-0.475898,-1.477941,44.283193,-17.076077,7.972814,4635481060665196500.000000,0.148286,0.759049,0.306603,-0.554843
1557515511649235,-15.202275,1.805875,1.165410,-2.740550,-0.105603,0.394003,46.094754,0.766222,-18.932059,4635485141420998700.000000,-0.552139,0.703445,-0.275406,-0.352788,-14.605709,1.140341,1.489303,-3.600612,1.516052,0.070986,46.467220,-1.835265,-13.861018,4635479664800825300.000000,-0.342831,-0.763350,-0.073279,0.542581,-22.030144,-12.850524,-4.217227,-4.292972,-0.607237,4.684497,46.798105,7.600646,-14.227421,4635481060665196500.000000,-0.896592,-0.161535,-0.381162,0.157302,-15.834330,0.783096,1.436179,-1.714407,-0.076221,-1.330277,46.546594,18.558376,7.569943,4635479879549190100.000000,-0.160690,0.759604,0.579315,-0.248143,-13.305522,0.648768,-6.311918,-2.235717,-0.418762,-1.686802,45.185018,-17.125323,7.475365,4635481060665196500.000000,0.147927,0.756786,0.311310,-0.555408
1557515511657568,-14.530567,1.550769,1.200047,-2.872804,-0.048821,0.354058,46.241642,0.924899,-19.024432,4635485141420998700.000000,-0.542769,0.709740,-0.270664,-0.358346,-14.679855,0.190019,1.461971,-3.505577,1.512130,-0.061350,46.801559,-1.107033,-13.215687,4635479664800825300.000000,-0.352799,-0.761664,-0.083499,0.537056,-21.355334,-13.050784,-4.634779,-4.194646,-0.608986,4.550994,46.976501,6.082146,-14.522913,4635481060665196500.000000,-0.902912,-0.152968,-0.378714,0.133887,-15.785253,-1.250426,1.673011,-1.721887,-0.011714,-1.360665,47.003142,19.552312,7.746232,4635479804014873600.000000,-0.157863,0.760553,0.581349,-0.242223,-14.768858,2.883742,-7.560544,-1.970324,-0.761139,-1.722968,46.159417,-16.961928,6.798487,4635480853260638200.000000,0.146910,0.753935,0.315116,-0.557406
1557515511665901,-13.671587,1.054883,0.532778,-2.998990,-0.045590,0.330986,46.210325,1.146218,-18.943461,4635485141420998700.000000,-0.532981,0.716218,-0.265638,-0.363868,-14.507345,-0.427602,1.309861,-3.303884,1.506679,-0.195554,47.429350,-0.525856,-12.722161,4635479616743986200.000000,-0.361746,-0.760049,-0.093670,0.531688,-20.526674,-13.183845,-4.970372,-3.970675,-0.576958,4.418018,47.010557,4.613949,-14.713538,4635481050060497900.000000,-0.908390,-0.144968,-0.376089,0.111217,-13.239684,-3.568069,2.875496,-1.339094,0.030597,-1.261885,48.159147,19.966845,8.194036,4635479664800825300.000000,-0.156215,0.761584,0.582533,-0.237156,-12.697352,2.919234,-2.924063,-1.883739,-0.833180,-1.871529,46.912084,-16.708466,6.126587,4635480845916831700.000000,0.145192,0.750855,0.318984,-0.559808
1557515511674234,-13.063670,0.299578,0.298128,-3.080020,-0.141838,0.328167,46.183032,1.502644,-18.973108,4635485141420998700.000000,-0.522974,0.722596,-0.260219,-0.369647,-14.185804,-0.603624,1.045338,-3.068338,1.506454,-0.325505,47.938955,-0.314662,-12.349554,4635479450052460500.000000,-0.369581,-0.758590,-0.103712,0.526494,-19.562758,-13.257697,-5.321222,-3.671597,-0.534457,4.286572,47.124192,3.002591,-14.757393,4635480953291014100.000000,-0.913033,-0.137841,-0.373330,0.089422,-11.486778,-1.190839,4.535184,-1.174484,0.128719,-0.895102,49.642386,19.558782,8.753555,4635479664800825300.000000,-0.154950,0.763587,0.582165,-0.232400,-12.704984,3.000099,-8.476995,-1.943937,-0.961149,-2.141862,47.656652,-16.605408,5.372725,4635480845916831700.000000,0.142972,0.747185,0.323553,-0.562660
1557515511682567,-12.493227,-0.110970,1.030048,-3.146828,-0.175641,0.349455,46.229435,1.994908,-19.113531,4635485141420998700.000000,-0.512673,0.728904,-0.254624,-0.375541,-13.763684,-0.622578,0.771475,-2.854076,1.514535,-0.457477,48.268556,-0.215073,-12.111830,4635479450052460500.000000,-0.376373,-0.757290,-0.113693,0.521468,-18.260467,-12.839724,-5.280112,-3.382556,-0.484997,4.122452,47.143952,1.407025,-14.913014,4635480953291014100.000000,-0.916896,-0.131517,-0.370535,0.068624,-16.302446,-1.165179,3.800910,-1.373320,-0.044030,-0.618203,50.731586,19.674348,9.263297,4635479664800825300.000000,-0.152333,0.766259,0.581123,-0.227898,-13.438792,3.203425,-4.270573,-2.125645,-1.115172,-2.167753,48.684137,-16.649222,4.333034,4635480845916831700.000000,0.141157,0.743152,0.328244,-0.565734
1557515511690900,-11.804405,-0.522759,1.296251,-3.211418,-0.152119,0.359722,46.198129,2.552450,-19.102166,4635485141420998700.000000,-0.502041,0.735227,-0.248954,-0.381336,-13.179030,-0.617117,0.604909,-2.692382,1.527704,-0.581576,48.576306,0.283322,-11.624515,4635479450052460500.000000,-0.382312,-0.756094,-0.123716,0.516578,-16.926696,-11.972600,-4.973688,-3.194105,-0.443954,3.934094,47.033770,-0.027729,-15.451859,4635480953291014100.000000,-0.920110,-0.125583,-0.367759,0.048782,-17.364474,0.819051,0.616521,-1.622303,0.084418,-0.857876,51.402561,20.707120,9.838367,4635479664800825300.000000,-0.149402,0.768615,0.580957,-0.222258,-12.733883,5.485714,-4.502913,-1.990709,-1.264895,-2.271489,49.273803,-16.485859,3.212471,4635480845916831700.000000,0.138607,0.738821,0.332621,-0.569469
1557515511699233,-10.969022,-1.003663,0.560940,-3.312242,-0.102807,0.339608,46.318391,2.718264,-19.122835,4635485141420998700.000000,-0.490990,0.741700,-0.243118,-0.386915,-12.594719,-0.557225,0.621435,-2.579486,1.535280,-0.680049,48.813684,1.094244,-10.909653,4635479450052460500.000000,-0.387616,-0.754931,-0.133800,0.511791,-16.006329,-11.346109,-4.650272,-3.094807,-0.420217,3.761914,47.152074,-1.291256,-15.645069,4635480921480735700.000000,-0.922809,-0.119727,-0.364973,0.029718,-11.870298,4.757255,1.293323,-1.538532,-0.066167,-0.718499,51.889513,21.971047,10.400842,4635479664800825300.000000,-0.146176,0.771073,0.580349,-0.217426,-12.707907,3.079217,-5.943139,-2.248716,-1.279311,-2.369020,49.493896,-16.102765,2.443042,4635480845916831700.000000,0.136448,0.734235,0.337800,-0.572863
1557515511707566,-10.473952,-1.559483,0.431428,-3.303144,-0.097957,0.334497,46.883862,2.416011,-19.305932,4635485141420998700.000000,-0.479883,0.748002,-0.237250,-0.392324,-12.164879,-0.330447,0.807423,-2.522939,1.527777,-0.760851,49.029101,1.800687,-10.188422,4635479450052460500.000000,-0.392512,-0.753690,-0.143985,0.507103,-15.026408,-10.895859,-4.292357,-3.051669,-0.414231,3.586773,47.298001,-2.476767,-15.623939,4635480631168466900.000000,-0.925092,-0.113733,-0.362134,0.011378,-17.105770,0.550986,4.144981,-1.519083,-0.284313,-0.512803,52.187314,23.153648,10.749466,4635479702542213100.000000,-0.142233,0.773756,0.579210,-0.213513,-12.707907,3.839479,-5.298401,-2.232280,-1.292017,-2.481681,49.913566,-15.782895,1.780567,4635480845916831700.000000,0.133774,0.729546,0.343148,-0.576295
