pFormat=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557515817533089,-7.352835,-1.076613,1.607398,-0.062141,0.303036,-0.721903,39.034218,-21.348456,1.691366,4635483101311533100.000000,-0.150583,0.898267,0.297685,0.286051,-7.426586,10.655969,5.571038,0.635300,0.298248,-1.781864,28.376163,-8.913829,-30.279681,4635480309045919700.000000,0.190561,0.472161,-0.147782,-0.847886,-6.248423,-2.840051,-0.166752,1.765549,-0.458749,-0.937718,23.861815,37.563826,6.145459,4635480738542649300.000000,0.524248,-0.095216,0.701875,-0.472726,-8.155191,-0.678548,0.953084,-1.922792,0.739385,1.142758,47.773158,0.745955,-10.377075,4635479799591885800.000000,0.875530,0.472564,-0.095734,-0.031072,-8.482506,-1.199431,3.148290,0.272624,-0.961266,0.855873,35.633353,16.352840,21.905280,4635481275413561300.000000,-0.470324,-0.176973,-0.823494,0.263314
1557515817541422,-7.344676,-0.868816,2.131099,-0.125788,0.119650,-0.685261,39.144285,-21.111254,1.709441,4635483101311533100.000000,-0.151320,0.897543,0.298877,0.286691,-6.804609,10.985934,6.265401,0.298421,0.172218,-1.611796,28.723291,-8.481979,-30.158572,4635480309045919700.000000,0.184527,0.474111,-0.145917,-0.848455,-6.079678,-2.980228,-0.247783,2.032252,-0.367051,-0.794953,23.631781,37.795744,5.482558,4635480738542649300.000000,0.524629,-0.093953,0.696425,-0.480552,-8.330265,-1.070648,1.225890,-1.826000,0.757518,1.197399,47.335705,0.139581,-10.120483,4635479664800825300.000000,0.879567,0.465412,-0.095306,-0.025884,-14.333862,14.144141,-7.371915,-0.596472,-1.305669,0.634996,35.950241,15.912864,21.722190,4635481275413561300.000000,-0.476333,-0.175882,-0.821065,0.260816
1557515817549755,-6.941225,-0.731231,2.310507,-0.105617,0.202617,-0.630762,39.339805,-20.830282,1.959254,4635483101311533100.000000,-0.152299,0.896774,0.299829,0.287581,-6.364790,11.197445,7.306619,0.016636,0.008894,-1.438308,28.963805,-8.083002,-30.144666,4635480245270757400.000000,0.310674,0.491787,-0.067142,-0.810629,-5.837804,-3.141720,-0.516085,2.264870,-0.284298,-0.656599,23.446917,37.987428,4.707062,4635480738542649300.000000,0.525089,-0.091603,0.690674,-0.488734,-8.081279,-1.715302,1.326904,-1.766046,0.793338,1.238556,47.098444,-0.784160,-9.956978,4635479664800825300.000000,0.883426,0.458425,-0.094805,-0.020419,-8.212981,-6.722878,-0.955412,-0.976322,-1.228706,0.317577,36.255427,15.763581,21.538614,4635481275413561300.000000,-0.481987,-0.173028,-0.819394,0.257572
1557515817558088,-6.986300,-0.197507,1.054807,-0.180585,0.104969,-0.609565,39.541862,-20.574339,2.155450,4635483101311533100.000000,-0.152899,0.896198,0.300665,0.288186,-6.028926,11.233860,8.229517,-0.141898,-0.186462,-1.239715,29.148610,-7.873579,-30.245942,4635480094297554900.000000,0.306840,0.491503,-0.064729,-0.812456,-5.455630,-2.908174,-0.892620,2.428617,-0.182710,-0.533392,23.129537,37.987292,4.070423,4635480738542649300.000000,0.525516,-0.088319,0.684780,-0.497100,-7.937934,-1.887038,1.058070,-1.746447,0.823716,1.275244,47.148968,-1.462050,-9.819863,4635479664800825300.000000,0.887181,0.451453,-0.094248,-0.014748,-7.660588,-2.214721,4.353278,-0.122297,-1.081719,0.799226,36.557788,15.541088,21.340533,4635481279497748500.000000,-0.487019,-0.173686,-0.816720,0.256153
1557515817566421,-7.395621,0.127333,1.455490,-0.293543,-0.202701,-0.590949,39.725143,-20.420920,2.022298,4635483101311533100.000000,-0.152713,0.896088,0.301487,0.287769,-5.772197,10.908090,8.699871,-0.145838,-0.408479,-1.025142,29.196485,-7.522248,-30.384796,4635480094297554900.000000,0.303673,0.490396,-0.063023,-0.814446,-4.946888,-2.476972,-1.183679,2.510122,-0.052960,-0.421231,22.836324,38.102594,3.328349,4635480738542649300.000000,0.525778,-0.084254,0.678961,-0.505441,-8.411151,-1.654249,1.045837,-1.671312,0.808242,1.306046,46.649945,-1.329773,-9.604976,4635479704745619500.000000,0.890709,0.444692,-0.093839,-0.009040,-10.887032,8.244471,-6.952218,-0.987260,-1.240262,0.512003,36.789702,15.239349,21.075242,4635481382787743700.000000,-0.492886,-0.171437,-0.814820,0.252470
1557515817574754,-7.138710,0.139540,2.563183,-0.326114,-0.162182,-0.602089,39.888721,-20.164010,1.808200,4635483101311533100.000000,-0.152442,0.895937,0.302283,0.287548,-5.623049,10.248024,8.661206,-0.001883,-0.638654,-0.805482,29.140810,-7.242613,-30.581429,4635480094297554900.000000,0.300890,0.488628,-0.062543,-0.816576,-4.539699,-2.049389,-1.377286,2.516957,0.084959,-0.319395,22.679484,38.440974,2.430804,4635480738542649300.000000,0.525810,-0.079581,0.673382,-0.513564,-8.733960,-1.759825,1.281486,-1.583943,0.796838,1.311164,46.153068,-1.515636,-9.363662,4635479772175007700.000000,0.893993,0.438207,-0.093490,-0.003339,-10.140280,2.668006,-0.807681,-1.344099,-1.344497,0.605514,37.024885,14.723224,20.895371,4635481382787743700.000000,-0.499424,-0.168651,-0.812963,0.247433
1557515817583087,-7.067146,0.135972,1.940043,-0.432500,-0.152268,-0.657042,39.930416,-19.761159,1.735142,4635483101311533100.000000,-0.151722,0.895773,0.303148,0.287528,-5.536260,9.538688,8.147448,0.225082,-0.853999,-0.578095,28.935039,-7.276550,-30.752325,4635480094297554900.000000,0.298356,0.486347,-0.063566,-0.818786,-4.270722,-1.804543,-1.404136,2.498385,0.250516,-0.217548,22.581969,38.502151,1.641234,4635480738542649300.000000,0.525532,-0.074296,0.668158,-0.521403,-9.012125,-2.076082,1.338274,-1.533618,0.782535,1.319606,46.141154,-2.134289,-9.204678,4635479772175007700.000000,0.897107,0.431867,-0.093195,0.002395,-8.273219,-0.059943,1.812687,-1.274968,-1.150563,0.693731,37.345097,14.427429,20.797700,4635481382787743700.000000,-0.505307,-0.166497,-0.811320,0.242287
1557515817591420,-7.186232,-0.109265,2.007521,-0.626697,-0.343214,-0.698912,39.925159,-19.431949,1.595059,4635483101311533100.000000,-0.149984,0.895909,0.304054,0.287061,-5.504200,8.934717,7.323578,0.471046,-1.036737,-0.352227,28.592260,-7.318535,-30.926865,4635480094297554900.000000,0.296036,0.483682,-0.066112,-0.821002,-4.269651,-1.891682,-1.217500,2.508660,0.410073,-0.125867,22.449415,38.540316,0.917264,4635480738542649300.000000,0.524956,-0.068374,0.663209,-0.529055,-9.508051,-2.285306,1.362386,-1.503131,0.730181,1.330842,46.004356,-2.179476,-9.111566,4635479772175007700.000000,0.900074,0.425592,-0.093131,0.008028,-10.689468,4.911543,-1.283715,-1.369562,-1.239614,0.948247,37.735688,14.052453,20.693572,4635481382787743700.000000,-0.511771,-0.164904,-0.809351,0.236323
1557515817599753,-6.721079,-0.646390,3.320175,-0.664937,-0.173175,-0.717991,40.018106,-19.268358,1.228474,4635483101311533100.000000,-0.148297,0.895839,0.304876,0.287281,-5.569795,8.570402,6.514865,0.684671,-1.190480,-0.135726,28.211175,-7.275612,-31.160670,4635480094297554900.000000,0.293972,0.480684,-0.070012,-0.823178,-4.771319,-2.065209,-0.848932,2.535933,0.533352,-0.038472,22.461475,38.748158,0.113504,4635480738542649300.000000,0.524184,-0.061866,0.658413,-0.536560,-9.841992,-2.501608,1.493237,-1.527019,0.663479,1.302205,46.096160,-2.441576,-9.012494,4635479732243099600.000000,0.902990,0.419202,-0.093266,0.013397,-11.284776,4.595570,-5.036894,-1.953641,-1.324128,0.922556,38.117529,13.454293,20.428714,4635481374645137400.000000,-0.518838,-0.161878,-0.807715,0.228471
