Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557516465187963,-4.380899,-1.833115,1.085568,-0.835740,-0.829972,0.846382,45.629307,-12.493963,5.181061,4635483101311533100.000000,-0.679414,0.308164,-0.588376,-0.311841,-5.566623,8.255457,-4.485820,-2.993585,-0.703841,2.128620,37.298450,-7.374921,-25.528178,4635479450052460500.000000,0.303420,-0.555116,0.216696,0.743522,-3.786589,-1.009782,-0.038917,-1.445371,0.041756,2.685826,14.226634,42.263167,-18.385470,4635480845916831700.000000,-0.241638,-0.246849,-0.494708,0.797459,-8.768097,-0.370169,1.452436,1.371909,-1.449514,-0.814392,45.603155,-16.314660,-10.492554,4635480309045919700.000000,-0.352257,0.568694,-0.392028,-0.631519,-7.702749,-2.340610,3.069303,1.273241,3.020930,-0.735021,40.729657,-12.295674,18.798615,4635480953291014100.000000,-0.638992,-0.357451,-0.680419,0.030787
1557516465196296,-4.394441,-1.567478,1.398025,-0.911835,-1.053388,0.814517,45.535184,-13.051388,4.648674,4635483206714482700.000000,-0.679675,0.307591,-0.585333,-0.317512,-5.858747,8.283945,-4.576965,-2.948728,-0.726555,2.241119,37.033188,-7.270726,-25.978179,4635479450052460500.000000,0.290243,-0.554634,0.211735,0.750539,-3.899883,-1.065858,-0.134662,-1.462394,-0.007243,2.738831,14.995264,42.357018,-17.930772,4635480845916831700.000000,-0.252168,-0.250756,-0.496602,0.791782,-10.339763,-1.664796,1.123326,1.616121,-1.752151,-0.856796,45.767422,-16.149324,-11.218910,4635480309045919700.000000,-0.360780,0.563129,-0.391488,-0.632028,-8.190797,-2.519826,3.777908,1.128811,2.876524,-0.990624,40.419900,-12.152383,19.660011,4635480953291014100.000000,-0.628956,-0.357569,-0.689579,0.032231
1557516465204629,-4.550448,-0.951401,2.122847,-1.003440,-1.088922,0.762550,45.689397,-13.613151,4.027667,4635483208685715500.000000,-0.679943,0.307342,-0.581979,-0.323293,-6.097193,8.214768,-4.664043,-2.908495,-0.746208,2.363314,36.778464,-7.251197,-26.652022,4635479356993976300.000000,0.276718,-0.553795,0.207103,0.757527,-4.027293,-1.033817,-0.220111,-1.516300,-0.055141,2.807724,15.445783,42.698047,-17.564942,4635481000258360300.000000,-0.263039,-0.254545,-0.498473,0.785839,-8.646667,0.045004,1.144309,1.703018,-1.691185,-0.898798,45.777763,-15.978439,-11.963478,4635480309045919700.000000,-0.369477,0.557601,-0.391134,-0.632125,-8.684157,-2.480115,4.608493,0.999047,2.737276,-1.234567,40.271956,-11.903695,20.477848,4635480953291014100.000000,-0.619368,-0.356561,-0.698628,0.034157
1557516465212962,-4.649227,-0.772204,2.340011,-0.964234,-0.944813,0.693435,45.608426,-13.863127,3.668721,4635483208685715500.000000,-0.679975,0.307329,-0.578976,-0.328586,-6.360873,8.034098,-4.802394,-2.875454,-0.769138,2.489996,36.257611,-7.346416,-27.444690,4635479342678278100.000000,0.262815,-0.552592,0.202787,0.764492,-4.117707,-0.960573,-0.340657,-1.608626,-0.097534,2.881426,16.113740,43.109664,-17.170492,4635481060665196500.000000,-0.274288,-0.258198,-0.500438,0.779527,-6.341106,2.955393,2.459858,1.738923,-1.503804,-0.691824,45.857644,-15.887401,-12.616913,4635480309045919700.000000,-0.377362,0.552117,-0.391607,-0.631988,-9.337016,-2.566898,5.339834,0.938164,2.612825,-1.480675,40.218299,-11.683972,21.406367,4635480953291014100.000000,-0.610088,-0.354596,-0.707605,0.036734
1557516465221295,-5.046421,-0.721139,2.212021,-0.864919,-0.887589,0.649175,45.606857,-14.023374,3.302766,4635483208685715500.000000,-0.680032,0.307208,-0.576197,-0.333430,-6.661144,7.859957,-4.959446,-2.850817,-0.792635,2.600431,35.622079,-7.371643,-28.081038,4635479342678278100.000000,0.248564,-0.551046,0.198723,0.771410,-4.252339,-0.966284,-0.466144,-1.735711,-0.128139,2.962023,17.017679,43.243959,-16.676569,4635481060665196500.000000,-0.285945,-0.261721,-0.502604,0.772740,-9.372702,-0.730083,3.920616,1.798990,-1.886511,-0.675209,46.022963,-15.950295,-13.355122,4635480309045919700.000000,-0.385919,0.545444,-0.391637,-0.632596,-10.044780,-3.032635,5.959864,0.973185,2.497688,-1.706537,40.021920,-11.279802,22.296712,4635480953291014100.000000,-0.600954,-0.351970,-0.716490,0.040163
1557516465229628,-5.353410,-0.288892,2.221522,-0.954275,-0.948419,0.648366,45.522987,-14.349815,2.505200,4635483208685715500.000000,-0.680098,0.307245,-0.573104,-0.338555,-7.029794,7.847731,-5.044091,-2.828244,-0.807803,2.701833,35.112616,-7.383850,-28.627929,4635479342678278100.000000,0.233983,-0.549193,0.194894,0.778239,-4.498755,-1.046766,-0.570677,-1.891625,-0.163286,3.047643,18.145308,43.040309,-15.949892,4635481060665196500.000000,-0.298059,-0.265065,-0.505038,0.765400,-8.568077,0.448123,3.651100,1.833984,-1.720428,-0.912693,46.193864,-16.183286,-13.825916,4635480309045919700.000000,-0.395182,0.539275,-0.391720,-0.632114,-10.735671,-3.305919,6.636527,1.069687,2.400192,-1.895412,39.773239,-10.710706,23.114491,4635480823540232200.000000,-0.591831,-0.348938,-0.725257,0.044500
1557516465237961,-5.394996,0.102647,2.305620,-1.123737,-0.876195,0.636833,45.437534,-14.607524,1.771402,4635482997906059300.000000,-0.679762,0.307879,-0.569942,-0.343947,-7.344753,7.796469,-5.191384,-2.799334,-0.822615,2.791132,34.698369,-7.607625,-29.302574,4635479435723876400.000000,0.219123,-0.547036,0.191293,0.784948,-4.753218,-1.091796,-0.659568,-2.064267,-0.195600,3.128025,19.289041,42.694688,-15.337163,4635481060665196500.000000,-0.310619,-0.268197,-0.507785,0.757457,-6.899078,4.006292,5.051737,1.645472,-1.766798,-0.827462,46.216430,-16.347542,-14.460085,4635480309045919700.000000,-0.403826,0.533092,-0.391379,-0.632107,-11.239716,-3.246659,7.194488,1.221206,2.339488,-2.059190,39.701018,-10.156809,24.264262,4635480803415624700.000000,-0.582529,-0.345699,-0.733943,0.049787
1557516465246294,-5.455574,0.337494,1.684220,-1.123751,-0.708136,0.620892,45.579719,-14.923751,1.314593,4635482993937350700.000000,-0.679024,0.308778,-0.567217,-0.349067,-7.671061,7.735438,-5.498143,-2.749068,-0.820908,2.868530,34.295567,-7.800491,-30.008900,4635479543086894100.000000,0.204058,-0.544620,0.187980,0.791462,-4.971032,-1.168835,-0.727470,-2.247404,-0.220901,3.196783,20.797953,42.275873,-14.800083,4635481060665196500.000000,-0.323573,-0.271087,-0.510880,0.748875,-8.064972,1.601604,4.603958,1.363623,-1.815907,-0.941116,46.057522,-16.049914,-15.380783,4635480309045919700.000000,-0.412179,0.527381,-0.389922,-0.632407,-11.669796,-3.161460,7.461784,1.404336,2.295692,-2.202662,39.777066,-9.631865,25.513540,4635480845916831700.000000,-0.572952,-0.342379,-0.742538,0.056046
1557516465254627,-5.540572,0.138142,-0.220479,-0.996850,-0.699736,0.609063,45.582443,-15.325005,1.150448,4635482993937350700.000000,-0.678421,0.309347,-0.564669,-0.353833,-8.148681,7.706135,-5.795977,-2.698443,-0.794427,2.930479,33.755286,-7.772067,-30.642815,4635479557426642900.000000,0.188822,-0.542044,0.184941,0.797704,-5.275028,-1.345426,-0.779734,-2.437860,-0.252841,3.249659,22.765075,41.441743,-13.806903,4635481060665196500.000000,-0.336884,-0.273656,-0.514336,0.739649,-7.173614,1.210748,3.835574,1.135210,-1.712265,-0.765944,45.977887,-15.800197,-16.320641,4635480309045919700.000000,-0.418200,0.522714,-0.387434,-0.633857,-12.332714,-2.834959,7.600877,1.548003,2.262228,-2.334648,39.827923,-8.922667,26.626287,4635480845916831700.000000,-0.563119,-0.338905,-0.751037,0.063110
