Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557433522258618,-9.633891,0.548583,-0.199068,-0.045930,0.006999,-0.000394,45.765887,-10.298132,-19.819031,4635496737832697900.000000,0.021314,0.705772,0.072617,-0.704385,-7.581490,5.669992,2.350272,-0.052540,0.038393,0.016969,50.994002,-6.681128,3.303356,4635493087110496300.000000,0.769936,0.471066,0.399315,-0.160757,-7.690664,-5.165906,3.016316,-0.051769,-0.011940,0.014954,42.599238,28.966245,10.637247,4635493731355590700.000000,0.779964,-0.173314,0.552353,-0.237750,-9.658852,-0.432260,-1.145291,-0.006409,0.001699,-0.008545,51.145793,16.952103,-4.597190,4635492442865401900.000000,0.321933,0.641284,0.384447,-0.580787,-9.630983,-0.338840,-1.108564,0.021218,0.000664,0.016109,51.300448,-12.586491,10.425122,4635493946103955500.000000,0.620258,-0.315525,0.665361,0.270220
1557433522266951,-9.672755,0.540869,-0.260098,-0.045930,0.016219,-0.006605,46.129763,-10.596026,-19.544052,4635496737832697900.000000,0.021368,0.705841,0.072424,-0.704335,-7.562833,5.659171,2.338064,-0.061267,0.036499,0.023760,50.964309,-6.760823,3.359115,4635493087110496300.000000,0.770013,0.470926,0.399420,-0.160534,-7.691751,-5.189233,3.035043,-0.045740,-0.013886,0.015239,42.683603,28.828200,10.567011,4635493731355590700.000000,0.779981,-0.173440,0.552357,-0.237591,-9.680470,-0.459474,-1.154701,-0.005971,0.000630,-0.010296,51.211665,16.858423,-4.514955,4635492442865401900.000000,0.321929,0.641240,0.384511,-0.580796,-9.619433,-0.359291,-1.130668,0.018101,0.000202,0.008690,51.215675,-12.538657,10.425122,4635493946103955500.000000,0.620286,-0.315430,0.665395,0.270183
1557433522275284,-9.745250,0.595917,-0.318889,-0.046127,0.019227,-0.009679,45.863392,-10.557104,-19.550789,4635496737832697900.000000,0.021416,0.705917,0.072244,-0.704275,-7.539115,5.651332,2.314346,-0.064593,0.032609,0.030855,50.880455,-6.839815,3.280123,4635493087110496300.000000,0.770108,0.470786,0.399501,-0.160293,-7.701787,-5.201438,3.112888,-0.043509,-0.014455,0.018443,42.743824,28.894924,10.637267,4635493731355590700.000000,0.780004,-0.173552,0.552359,-0.237428,-9.680470,-0.453285,-1.142494,-0.005341,0.000000,-0.013693,51.131218,16.823412,-4.406873,4635492486858543100.000000,0.321916,0.641191,0.384582,-0.580811,-9.619433,-0.326629,-1.095695,0.017090,0.000866,0.001414,51.066862,-12.534694,10.504309,4635493946103955500.000000,0.620319,-0.315358,0.665420,0.270129
1557433522283617,-9.803292,0.561541,-0.340313,-0.049527,0.018965,-0.010878,45.123044,-9.951528,-19.654666,4635496737832697900.000000,0.021493,0.705991,0.072100,-0.704214,-7.542778,5.658481,2.289237,-0.066164,0.030534,0.036134,50.914982,-6.884975,3.188927,4635493087110496300.000000,0.770212,0.470649,0.399564,-0.160037,-7.693916,-5.212561,3.113972,-0.040210,-0.020579,0.021837,42.683587,28.894924,10.566992,4635493731355590700.000000,0.780047,-0.173650,0.552341,-0.237259,-9.680470,-0.432847,-1.125288,-0.004466,0.000438,-0.014954,51.057980,16.772972,-4.446876,4635492550239584300.000000,0.321897,0.641141,0.384654,-0.580828,-9.649123,-0.337185,-1.007289,0.024884,0.000202,-0.006061,51.157909,-12.527107,10.592055,4635493946103955500.000000,0.620373,-0.315286,0.665442,0.270035
1557433522291950,-9.815500,0.561541,-0.315898,-0.055544,0.014627,-0.014017,45.230657,-9.821970,-19.660149,4635496737832697900.000000,0.021585,0.706050,0.071988,-0.704163,-7.585855,5.629008,2.294294,-0.065783,0.028336,0.042543,50.878886,-6.810160,3.091263,4635493188350483500.000000,0.770322,0.470524,0.399606,-0.159770,-7.727286,-5.212561,3.128347,-0.036317,-0.023689,0.026893,42.757915,28.880833,10.653527,4635493731355590700.000000,0.780104,-0.173727,0.552313,-0.237078,-9.675470,-0.451085,-1.095872,-0.004955,0.001506,-0.014517,50.979734,16.737967,-4.504532,4635492550239584300.000000,0.321879,0.641095,0.384728,-0.580841,-9.695639,-0.341807,-0.949217,0.028435,0.000000,-0.012672,51.185642,-12.465421,10.608233,4635493946103955500.000000,0.620439,-0.315222,0.665459,0.269914
1557433522300283,-9.825466,0.563782,-0.290737,-0.055544,0.009548,-0.015957,45.812398,-10.129648,-19.572950,4635496737832697900.000000,0.021663,0.706095,0.071870,-0.704127,-7.616721,5.626216,2.307199,-0.063082,0.025254,0.048448,50.795006,-6.691753,3.125959,4635493301858861100.000000,0.770436,0.470416,0.399623,-0.159495,-7.729452,-5.216892,3.160635,-0.036128,-0.026488,0.029314,42.835777,28.722153,10.734937,4635493731355590700.000000,0.780172,-0.173804,0.552276,-0.236884,-9.668263,-0.425050,-1.094249,-0.008789,0.001699,-0.015636,50.994277,16.687521,-4.504532,4635492550239584300.000000,0.321868,0.641042,0.384814,-0.580848,-9.704885,-0.331912,-0.930074,0.021913,0.000000,-0.017349,51.126267,-12.520822,10.459798,4635493946103955500.000000,0.620503,-0.315189,0.665463,0.269800
1557433522308616,-9.801053,0.598908,-0.252627,-0.055609,0.008806,-0.014954,45.570044,-10.264466,-19.642458,4635496737832697900.000000,0.021741,0.706139,0.071747,-0.704093,-7.658395,5.640521,2.312953,-0.062456,0.019914,0.053788,50.835279,-6.647281,3.303304,4635493301858861100.000000,0.770564,0.470306,0.399624,-0.159197,-7.749536,-5.262473,3.149510,-0.033707,-0.035628,0.034465,42.828199,28.585110,10.641907,4635493731355590700.000000,0.780269,-0.173872,0.552211,-0.236670,-9.668263,-0.464459,-1.118083,-0.013306,0.001943,-0.017721,51.182952,16.757498,-4.539521,4635492550239584300.000000,0.321863,0.640980,0.384917,-0.580851,-9.724675,-0.428545,-0.917868,0.015100,-0.001732,-0.015561,51.181659,-12.655737,10.504278,4635493946103955500.000000,0.620560,-0.315166,0.665456,0.269711
1557433522316949,-9.776638,0.611116,-0.193081,-0.056612,0.013470,-0.015019,45.206720,-10.026560,-19.649445,4635496737832697900.000000,0.021830,0.706196,0.071637,-0.704045,-7.719432,5.633367,2.319407,-0.062517,0.014573,0.058122,50.840181,-6.646581,3.313107,4635493200643169300.000000,0.770702,0.470208,0.399589,-0.158910,-7.727286,-5.277928,3.147345,-0.028366,-0.040184,0.037480,42.750328,28.677055,10.485077,4635493731355590700.000000,0.780381,-0.173917,0.552128,-0.236459,-9.668263,-0.480508,-1.100876,-0.017528,0.005392,-0.014466,51.219943,16.923411,-4.519997,4635492506269263900.000000,0.321873,0.640926,0.385027,-0.580833,-9.709509,-0.451674,-0.885869,0.009557,-0.003002,-0.011491,51.316594,-12.673597,10.592050,4635493946103955500.000000,0.620608,-0.315145,0.665446,0.269649
1557433522325282,-9.754461,0.621832,-0.158696,-0.056742,0.023891,-0.016022,45.450121,-9.732005,-19.574711,4635496737832697900.000000,0.021923,0.706283,0.071542,-0.703964,-7.763205,5.634068,2.325159,-0.060946,0.007723,0.060320,50.754740,-6.653035,3.182489,4635493087110496300.000000,0.770848,0.470114,0.399526,-0.158635,-7.727286,-5.327833,3.122933,-0.022837,-0.047566,0.038359,42.750328,28.821680,10.481520,4635493731355590700.000000,0.780514,-0.173947,0.552017,-0.236256,-9.683261,-0.451674,-1.091458,-0.018159,0.007670,-0.011994,51.010785,17.012121,-4.344091,4635492442865401900.000000,0.321886,0.640881,0.385134,-0.580804,-9.724677,-0.451674,-0.869037,0.006813,-0.001473,-0.010681,51.344337,-12.611911,10.529068,4635493946103955500.000000,0.620648,-0.315131,0.665437,0.269595
