Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557505687005543,-6.710692,2.672261,1.740732,-0.182059,-0.270497,-0.759487,39.423018,15.905893,-27.116443,4635493603867272200.000000,0.581490,0.382319,0.335913,-0.634715,-7.262035,-0.150467,4.368924,0.902710,-0.279199,-1.898010,46.755131,-14.541987,6.733183,4635490402755936300.000000,-0.656256,0.256848,-0.622445,-0.340469,-10.096417,-1.923875,0.804774,1.173473,-0.631300,-0.962171,45.102393,-2.154616,-23.013393,4635490188007571500.000000,-0.487892,0.558416,-0.184344,-0.645097,-14.325265,-11.463573,-1.863949,-3.009653,-0.674685,1.424942,39.331712,10.130888,29.157941,4635489221639929900.000000,0.628624,0.032535,0.766563,-0.127103,-8.715916,2.122644,-0.842226,1.736052,-1.233900,1.673431,40.310098,1.343472,-22.662631,4635490724878483500.000000,0.088517,0.683005,-0.003390,-0.725023
1557505687013876,-7.174540,2.380023,1.642972,-0.239902,-0.078084,-0.743560,39.170109,16.230532,-26.945540,4635493731355590700.000000,0.580003,0.380497,0.337575,-0.636288,-7.824699,-0.173820,4.371316,1.089214,-0.353118,-1.837026,46.995061,-13.868380,6.675058,4635490402755936300.000000,-0.660979,0.258044,-0.620987,-0.333009,-10.620422,-2.214111,0.769066,1.027831,-0.675014,-0.696362,44.945526,-1.910773,-23.106481,4635490188007571500.000000,-0.492674,0.555040,-0.184079,-0.644452,-13.111727,-13.134218,-2.849983,-2.943418,-0.696337,0.961334,39.498182,9.196523,29.182354,4635489221639929900.000000,0.631712,0.027548,0.766094,-0.115243,-8.490760,2.374388,-1.645328,1.990008,-1.185740,1.794309,40.116045,0.173892,-22.873996,4635490724878483500.000000,0.088207,0.680093,-0.014908,-0.727648
1557505687022209,-7.629618,1.839129,0.814854,-0.260428,0.136121,-0.671833,39.046143,16.523098,-26.769693,4635493731355590700.000000,0.578430,0.379291,0.339692,-0.637312,-8.469556,-0.087043,4.509313,1.261113,-0.436572,-1.764672,47.317496,-12.985215,6.559357,4635490402755936300.000000,-0.665947,0.258440,-0.619564,-0.325365,-11.109326,-2.399049,0.769371,0.868223,-0.715764,-0.436670,44.858245,-1.682794,-23.030170,4635490188007571500.000000,-0.496406,0.551665,-0.183895,-0.644538,-11.836611,-14.083539,-3.692266,-2.788139,-0.708960,0.540732,39.615254,8.440235,29.055822,4635489221639929900.000000,0.634519,0.021616,0.765441,-0.104967,-8.481622,4.360003,-2.852670,2.023065,-1.177588,1.859796,39.771409,-1.137404,-23.009772,4635490724878483500.000000,0.087989,0.677110,-0.026705,-0.730114
1557505687030542,-8.291828,1.316524,0.362389,-0.254755,0.259812,-0.556151,38.997697,16.774472,-26.665927,4635493731355590700.000000,0.576976,0.378587,0.341907,-0.637864,-8.891467,0.018561,4.768567,1.414794,-0.510546,-1.677557,47.756135,-12.185967,6.588020,4635490391094633500.000000,-0.671096,0.258061,-0.618185,-0.317618,-11.621066,-2.655677,0.780667,0.732717,-0.762651,-0.172385,44.697446,-1.617441,-23.314544,4635490188007571500.000000,-0.499142,0.548230,-0.183854,-0.645367,-10.321897,-14.569541,-4.162174,-2.519709,-0.651958,0.157014,39.656305,7.842695,28.743437,4635489221639929900.000000,0.636867,0.015193,0.764754,-0.096543,-8.543675,5.763509,-3.564159,1.907402,-1.236404,1.889561,39.293870,-2.070418,-23.416985,4635490724878483500.000000,0.088167,0.673799,-0.038252,-0.732638
1557505687038875,-8.730570,1.165042,0.553141,-0.209026,0.423748,-0.438144,39.089623,16.949214,-26.598793,4635493731355590700.000000,0.575524,0.378594,0.344206,-0.637934,-9.284473,0.185485,4.939745,1.570089,-0.569293,-1.593547,47.970841,-11.521750,6.559352,4635490295381753900.000000,-0.676392,0.256929,-0.616882,-0.309741,-12.098306,-2.920889,0.755954,0.602286,-0.805583,0.068434,44.455741,-1.865484,-23.737529,4635490188007571500.000000,-0.500956,0.544755,-0.183919,-0.646884,-8.631217,-15.057269,-4.455698,-2.154509,-0.628702,-0.202457,39.605256,7.526423,28.521491,4635489221639929900.000000,0.638908,0.008601,0.763925,-0.090225,-8.853757,7.687834,-4.226439,1.615858,-1.325144,1.897747,38.872231,-2.963094,-23.945807,4635490677079321600.000000,0.089162,0.670011,-0.048959,-0.735349
1557505687047208,-9.002567,1.357280,0.519992,-0.170901,0.589340,-0.334773,39.363508,17.027414,-26.415691,4635493731355590700.000000,0.574046,0.379278,0.346635,-0.637545,-9.775935,0.326372,5.005035,1.749325,-0.628035,-1.503022,48.052023,-10.716158,6.588025,4635490295381753900.000000,-0.681847,0.254956,-0.615682,-0.301691,-12.618697,-3.053661,0.718426,0.467054,-0.856907,0.286665,44.313176,-2.266216,-23.993884,4635490188007571500.000000,-0.501905,0.541248,-0.184005,-0.649064,-6.042420,-14.768241,-4.667646,-1.647629,-0.486707,-0.442336,39.654630,7.536952,28.338397,4635489221639929900.000000,0.640343,0.002648,0.763238,-0.086147,-9.983837,8.034291,-4.335184,1.372495,-1.369020,1.942666,38.481468,-4.063102,-24.286102,4635490617504301100.000000,0.090953,0.665900,-0.059054,-0.738118
1557505687055541,-9.146754,1.604499,0.300600,-0.116590,0.671529,-0.247620,39.556944,17.112859,-26.197891,4635493731355590700.000000,0.572589,0.380433,0.348976,-0.636890,-10.057577,0.525641,4.997097,1.953090,-0.685388,-1.403514,48.217019,-9.944943,6.571252,4635490295381753900.000000,-0.687470,0.252050,-0.614617,-0.293431,-12.949339,-3.123888,0.646992,0.349229,-0.910076,0.474460,44.325081,-2.577874,-24.252654,4635490188007571500.000000,-0.502113,0.537687,-0.184080,-0.651836,-13.168020,-16.865512,-2.853863,-1.231251,-0.979413,-0.679865,39.975899,7.622410,27.938328,4635489221639929900.000000,0.643222,-0.003126,0.761049,-0.084028,-11.296731,6.840933,-4.998979,1.211018,-1.374583,2.068875,37.903556,-5.243199,-24.556077,4635490617504301100.000000,0.093567,0.661591,-0.068997,-0.740798
1557505687063874,-9.434319,1.871055,0.964068,0.039798,0.722047,-0.172290,39.499756,17.198307,-25.998736,4635493731355590700.000000,0.571004,0.382202,0.350900,-0.636196,-10.024180,0.764228,4.918548,2.151516,-0.729006,-1.285053,48.515904,-9.439379,6.697891,4635490295381753900.000000,-0.693189,0.248187,-0.613725,-0.285014,-12.830117,-3.073248,0.646691,0.261101,-0.953501,0.611406,44.317235,-2.667249,-24.606367,4635490188007571500.000000,-0.501773,0.534077,-0.184127,-0.655044,-7.569703,-25.996687,-8.899931,-0.439448,-0.816304,-0.631970,40.432533,7.651266,27.625382,4635489221639929900.000000,0.645587,-0.006569,0.758992,-0.084290,-13.095836,7.684227,-6.576902,0.848525,-1.344767,2.303100,37.407394,-6.360598,-24.965783,4635490617504301100.000000,0.097899,0.657078,-0.078445,-0.743310
1557505687072207,-9.984713,2.410437,2.154811,0.072091,0.889628,-0.064560,39.469925,17.283753,-25.866393,4635493731355590700.000000,0.569402,0.384644,0.352962,-0.635019,-9.819307,1.055874,4.795153,2.314164,-0.750676,-1.168023,48.653123,-8.775191,6.640086,4635490295381753900.000000,-0.698907,0.243498,-0.613010,-0.276508,-12.345141,-2.948760,0.634181,0.194309,-0.981733,0.714224,43.998033,-2.913510,-24.948174,4635490188007571500.000000,-0.501014,0.530436,-0.184158,-0.658566,-10.794139,-7.123253,-11.368265,0.119723,-0.765800,-0.983408,40.597366,7.842646,27.554886,4635489304586292200.000000,0.647669,-0.009601,0.756848,-0.087265,-14.021814,10.986770,-8.824214,0.142161,-1.233400,2.606518,37.109024,-7.246085,-25.447187,4635490617504301100.000000,0.105128,0.652431,-0.086480,-0.745522
