Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557512867396752,-10.009536,-0.110646,1.833979,-0.890320,-0.114219,-0.019043,39.524850,-17.038812,-26.583152,4635486966782099500.000000,0.453060,-0.507704,0.255098,0.686948,-2.094893,9.351309,1.547731,-0.248200,1.707512,0.054704,31.807274,-31.025982,-8.025025,4635483960304992300.000000,-0.522144,-0.746470,0.167544,0.376932,-3.455263,-4.630862,4.999642,-1.049692,-1.277630,1.029670,25.524266,38.516056,-20.541939,4635485034046816300.000000,-0.595737,-0.124681,-0.419288,0.673610,-8.124223,4.436174,-1.277140,-1.347074,0.547189,-0.428390,40.068649,29.479102,-8.209102,4635483530808262700.000000,-0.018847,-0.756432,-0.297339,0.582276,-9.850230,2.823701,-4.767500,-0.784546,1.132444,-0.778577,51.847867,-18.410315,10.329422,4635484604550086700.000000,0.663132,-0.391341,0.545220,0.331425
1557512867405085,-9.515793,0.076697,2.465311,-1.018638,-0.006337,-0.077924,39.515366,-16.948983,-26.599932,4635486966782099500.000000,0.451494,-0.509430,0.252164,0.687785,-2.383948,9.354794,1.644952,-0.376681,1.713652,0.041123,32.101128,-30.936607,-7.584701,4635483960304992300.000000,-0.524362,-0.748392,0.163342,0.371851,-3.406437,-4.807432,4.998217,-0.919810,-1.229888,0.987965,24.608811,39.353450,-20.428661,4635485086477579300.000000,-0.598245,-0.122559,-0.417812,0.672692,-22.822923,-7.109771,-5.479278,-1.457624,-0.223020,-1.212555,39.590842,29.525481,-7.816289,4635483530808262700.000000,-0.020494,-0.754278,-0.304547,0.581288,-10.014725,3.871376,-5.024059,-0.776065,1.169457,-0.603301,51.123383,-18.433382,10.558667,4635484604550086700.000000,0.660138,-0.396184,0.546522,0.329499
1557512867413418,-10.116435,-0.121150,0.436503,-0.793490,0.104512,0.075494,39.584231,-16.794663,-26.439241,4635486966782099500.000000,0.449797,-0.510899,0.250373,0.688461,-2.660335,9.466837,1.780097,-0.482571,1.703162,0.023271,32.319096,-30.793179,-7.296982,4635483960304992300.000000,-0.526847,-0.750040,0.158935,0.366894,-3.262233,-4.913337,5.106941,-0.786463,-1.179960,0.948444,23.710490,40.105567,-20.363949,4635485141420998700.000000,-0.603103,-0.119191,-0.416579,0.669718,-7.026194,-12.201222,6.571937,-0.049390,0.181362,-1.290022,39.127432,29.859308,-7.769739,4635483530808262700.000000,-0.017013,-0.753094,-0.308608,0.580794,-10.085477,4.548707,-5.313119,-0.735693,1.219407,-0.444182,50.563800,-18.490706,10.947956,4635484604550086700.000000,0.656845,-0.400617,0.548253,0.327841
1557512867421751,-10.787766,0.049342,1.429880,-0.706378,-0.275527,0.135661,39.439414,-16.486791,-26.520840,4635486966782099500.000000,0.448497,-0.511051,0.248239,0.689967,-2.978584,9.571472,1.872525,-0.556158,1.680961,-0.003203,32.316054,-30.630565,-7.040636,4635483814596693000.000000,-0.529479,-0.751471,0.154374,0.362094,-3.012139,-4.871902,5.301389,-0.699743,-1.103409,0.909446,24.054694,39.888763,-20.139414,4635485141420998700.000000,-0.607726,-0.116134,-0.415311,0.666857,4.593098,7.216121,4.175628,-1.270261,0.588408,-0.446641,38.833098,29.811403,-7.266816,4635483530808262700.000000,-0.018922,-0.753845,-0.313050,0.577372,-10.207617,4.560173,-5.215057,-0.670331,1.279021,-0.297813,50.157455,-18.272527,11.388563,4635484590906066900.000000,0.653302,-0.404596,0.550468,0.326316
1557512867430084,-9.485228,0.038084,3.119682,-1.025121,-0.189689,0.038441,39.200384,-16.249735,-26.802122,4635486966782099500.000000,0.446701,-0.512142,0.245136,0.691432,-3.320392,9.503908,1.834168,-0.593126,1.634308,-0.039633,32.296864,-30.521565,-6.775998,4635483745556627500.000000,-0.532113,-0.752735,0.149739,0.357525,-2.839231,-4.756371,5.509478,-0.671865,-1.014161,0.872559,24.776411,39.773061,-20.007646,4635485141420998700.000000,-0.612173,-0.113253,-0.414213,0.663961,-17.384678,-0.929189,-5.057051,-1.579036,0.191978,-0.531427,38.651316,29.540359,-6.600000,4635483530808262700.000000,-0.022070,-0.753502,-0.318400,0.574777,-9.196443,4.991823,-4.963573,-0.575429,1.367684,-0.135186,49.531471,-18.094471,11.683247,4635484497175904300.000000,0.649465,-0.408057,0.553303,0.324869
1557512867438417,-9.411177,0.116957,1.111098,-1.017600,0.042284,0.062170,39.036572,-16.155511,-26.900000,4635486966782099500.000000,0.444611,-0.513854,0.242535,0.692425,-3.521380,9.353074,1.740441,-0.601367,1.573353,-0.083500,32.458144,-30.436121,-6.449484,4635483745556627500.000000,-0.534643,-0.753880,0.145082,0.353231,-2.741861,-4.639968,5.823696,-0.673951,-0.923991,0.835225,24.815443,40.205702,-19.984385,4635485141420998700.000000,-0.616311,-0.110566,-0.413350,0.661118,-23.348207,-0.451309,-5.996607,-0.764484,-0.508628,-1.053978,38.321582,29.649040,-6.335241,4635483530808262700.000000,-0.022338,-0.750835,-0.323363,0.575486,-9.113637,6.030711,-4.880405,-0.495422,1.456084,0.032432,48.713659,-18.117334,12.073842,4635484497175904300.000000,0.645300,-0.411027,0.556745,0.323542
1557512867446750,-10.570885,0.317149,0.460216,-0.841101,-0.167294,0.224739,39.176243,-16.150394,-26.996916,4635486966782099500.000000,0.442641,-0.514462,0.240405,0.693976,-3.688767,9.293761,1.634513,-0.589050,1.505268,-0.127251,32.805981,-30.350680,-6.219717,4635483745556627500.000000,-0.537004,-0.754945,0.140451,0.349225,-2.631994,-4.578065,6.293248,-0.691781,-0.827908,0.805611,24.736139,39.984253,-19.797912,4635485141420998700.000000,-0.620178,-0.108051,-0.412780,0.658268,-7.081988,-8.190218,4.506070,-0.730703,0.190736,-1.221234,37.952411,29.943392,-6.123560,4635483530808262700.000000,-0.021191,-0.749577,-0.328870,0.574047,-9.497360,6.928505,-5.141222,-0.459496,1.492010,0.168866,47.923643,-18.120253,12.462926,4635484510794156000.000000,0.640898,-0.413620,0.560539,0.322435
1557512867455083,-11.103853,0.077151,2.320623,-0.773724,-0.315125,0.333390,39.105439,-16.081545,-27.186376,4635486966782099500.000000,0.440649,-0.514402,0.238429,0.695968,-3.913290,9.414047,1.483238,-0.573065,1.432593,-0.161284,32.885890,-30.157573,-6.048806,4635483745556627500.000000,-0.539199,-0.755929,0.135893,0.345499,-2.528098,-4.559611,6.698075,-0.735291,-0.728086,0.785865,25.419698,38.937150,-19.582132,4635485141420998700.000000,-0.623946,-0.105582,-0.412605,0.655211,-2.466052,-4.793575,1.274682,-0.566366,0.466972,-1.047616,37.816971,30.089685,-5.670074,4635483530808262700.000000,-0.019576,-0.749205,-0.333466,0.571934,-9.505096,7.289027,-5.354918,-0.411600,1.532866,0.298266,47.316253,-18.079335,12.841321,4635484604550086700.000000,0.636277,-0.415824,0.564703,0.321485
1557512867463416,-10.616780,-0.260261,1.798885,-0.781179,-0.329673,0.280432,38.801965,-15.859126,-27.634142,4635486966782099500.000000,0.438804,-0.514360,0.236287,0.697892,-4.149129,9.597136,1.386869,-0.570428,1.357451,-0.202055,32.589111,-29.872058,-5.877924,4635483745556627500.000000,-0.541263,-0.756804,0.131374,0.342086,-2.543616,-4.660565,6.943941,-0.777275,-0.636011,0.753588,26.348090,38.271984,-19.519638,4635485141420998700.000000,-0.627594,-0.103116,-0.412806,0.651985,0.091135,2.800558,0.543495,-0.757223,0.422355,-0.258093,37.890208,30.139880,-5.220427,4635483530808262700.000000,-0.020595,-0.749736,-0.336168,0.569616,-9.516593,7.127575,-5.555560,-0.306277,1.578035,0.452895,46.637043,-18.186291,13.221333,4635484604550086700.000000,0.631488,-0.417434,0.569363,0.320621
